community_area,community,population,crimes_total,crimes_violent,crimes_property,crime_rate,violent_rate,property_rate,high_violence,arrest_rate,median_age,pct_white,pct_black,pct_hispanic,pct_asian,unemployment_rate,pct_bachelors,pct_no_hs_diploma,median_income,income_per_capita,pct_renter,pct_vacant,median_rent
1,Rogers Park,54173,3760,1173,1416,69.4,21.7,26.1,FALSE,0.187,36.1,44.6,21.7,22.6,6.3,7.1,52.5,11.6,60916,40137,71.8,9.5,1338
2,West Ridge,78373,3266,959,1246,41.7,12.2,15.9,FALSE,0.11,37.4,39.4,11.7,20.6,21.8,7.3,43.9,12.8,70823,34688,49.4,7.7,1437
3,Uptown,56344,4164,1287,1706,73.9,22.8,30.3,TRUE,0.136,37.4,52,19,14.1,10.3,4.7,60.9,7.3,70067,56153,70.7,9.1,1363
4,Lincoln Square,41651,1903,462,808,45.7,11.1,19.4,FALSE,0.107,36.8,62.3,4.2,17.8,9.2,5.2,67.8,5,92490,63079,59.3,6.2,1555
5,North Center,36014,1248,235,527,34.7,6.5,14.6,FALSE,0.056,35.4,73.3,2.3,11.8,6.2,3.8,80.5,2.7,145659,89451,43.1,8.7,1830
6,Lake View,102827,6016,1303,3065,58.5,12.7,29.8,FALSE,0.096,32.2,72.9,4.5,10.2,7.3,3.4,83.3,1.8,105499,90815,62.5,6,1843
7,Lincoln Park,67987,3907,636,2198,57.5,9.4,32.3,FALSE,0.071,31,76.7,2.5,7.9,8.1,4.3,86.8,2.1,137914,114444,55.2,9.9,2051
8,Near North Side,107331,11153,2605,5331,103.9,24.3,49.7,TRUE,0.145,33.8,64.3,7.9,8.3,14.9,3.3,86.4,1.7,124208,121129,63.5,10.3,2387
9,Edison Park,11558,279,68,89,24.1,5.9,7.7,FALSE,0.082,39.8,79.4,0.6,14.9,1.6,3.4,57.5,2.2,128066,66773,18.8,5.5,1485
10,Norwood Park,39839.7773897861,1127,253,422,28.3,6.4,10.6,FALSE,0.13,41.9,70.6,1,18,7,4.4,47.5,6.4,110554,51351,19,3.8,1655
11,Jefferson Park,26649,894,271,252,33.5,10.2,9.5,FALSE,0.17,42.3,56.1,2.8,26.9,11.9,5.2,44.7,7.7,96870,49736,32.7,4.7,1398
12,Forest Glen,19901,410,80,169,20.6,4,8.5,FALSE,0.1,42.8,70.1,1.4,10.8,13.1,4.2,65.3,3.8,131665,70610,11.7,2.6,1459
13,North Park,18356,995,248,438,54.2,13.5,23.9,FALSE,0.12,38.4,44.8,5.6,16.5,29.4,4.2,47.3,8.6,77173,38514,51.9,10.2,1299
14,Albany Park,45538,2352,698,743,51.6,15.3,16.3,FALSE,0.154,36.2,34.2,3.5,43,15.1,6.9,43.8,18.1,86513,42952,56.3,7.7,1416
15,Portage Park,63031,3047,742,1192,48.3,11.8,18.9,FALSE,0.222,39.1,46.6,2.3,40.9,5.9,4.9,39,11.7,90361,43196,38.7,6.5,1343
16,Irving Park,53332,2308,615,820,43.3,11.5,15.4,FALSE,0.118,37.2,45.9,3.7,37.4,8.7,6.6,51.7,9.6,91411,55144,48.7,6.2,1401
17,Dunning,41233,1420,388,453,34.4,9.4,11,FALSE,0.112,44.9,51.8,2.5,36.7,6.1,5.6,27.2,11.4,87411,42971,20.5,5.5,1365
18,Montclare,14280,667,171,271,46.7,12,19,FALSE,0.093,41.1,29.4,7.3,60.7,2.3,5.8,22.7,17.7,72340,31438,44.2,3.7,1311
19,Belmont Cragin,72088,3943,1232,1373,54.7,17.1,19,FALSE,0.183,36.6,13,3.9,78.1,3.4,5.8,17.4,29.6,68284,26698,47.7,6.5,1228
20,Hermosa,22576,1185,395,353,52.5,17.5,15.6,FALSE,0.169,35.1,9.8,3,84.9,1.3,5.2,22.6,25.2,70767,29154,51.6,7.4,1316
21,Avondale,35533,2189,500,1048,61.6,14.1,29.5,FALSE,0.145,35.2,37.9,3.2,49.7,4.2,6,47.3,13.6,93916,51171,56.3,6.9,1670
22,Logan Square,71192,4519,965,2229,63.5,13.6,31.3,FALSE,0.168,33.1,52.4,5.8,33,4.7,4.5,63.3,7.2,107916,72417,61.4,8.9,1799
23,Humboldt Park,56153,6157,1904,1479,109.6,33.9,26.3,TRUE,0.314,32.6,12.1,30.2,53.8,2.2,10.4,24.4,21.7,56531,27542,59.3,9.1,1308
24,West Town,88164,6880,1397,3492,78,15.8,39.6,FALSE,0.09,33.2,61.4,6.1,19.8,6.6,3.8,75.6,4.9,141208,93906,58.1,5.9,2052
25,Austin,97452,11794,4291,3196,121,44,32.8,TRUE,0.216,37.9,5.6,69,21.8,0.9,15.2,16.4,17.1,47533,25316,57.2,7.6,1159
26,West Garfield Park,15096,3317,1307,642,219.7,86.6,42.5,TRUE,0.265,38,1.2,89.1,8.3,0.7,18.9,10.5,22.3,38642,21156,68.2,20,1231
27,East Garfield Park,20731,3778,1364,809,182.2,65.8,39,TRUE,0.245,33.4,7.6,79,10.6,0.7,18.4,23.2,15.7,37170,24057,68.5,12.5,1222
28,Near West Side,68165,10313,2703,4413,151.3,39.7,64.7,TRUE,0.115,32.7,41.9,24.3,11.6,17.2,6.1,71.8,4.5,111332,87447,65.3,6.6,2149
29,North Lawndale,33958,6418,2303,1188,189,67.8,35,TRUE,0.299,33.8,4.2,78.5,15,0.4,15.6,15.3,16.6,42221,23896,73.4,18,1204
30,South Lawndale,69884,3731,1403,886,53.4,20.1,12.7,FALSE,0.23,35.2,6.1,11.9,80.7,1,7.2,15.2,35.4,54569,21849,53.5,7,1062
31,Lower West Side,33446,2675,898,959,80,26.8,28.7,TRUE,0.129,34.3,21.6,2.4,68.2,4.5,7,41.5,21.6,80267,44129,68,9.1,1335
32,Loop,42550,8580,1877,3949,201.6,44.1,92.8,TRUE,0.206,31.8,49.9,11,10.5,24.3,5.4,83.8,3.3,119471,99109,67.7,10.7,2430
33,Near South Side,30482,2434,630,850,79.9,20.7,27.9,FALSE,0.171,35.9,42.9,26.1,7.9,18.3,4.1,82.3,2.3,118170,92902,50.4,5.7,2389
34,Armour Square,13884.5163934426,1159,367,415,83.5,26.4,29.9,TRUE,0.154,43.6,13.2,11.7,4.7,66.4,10.6,29.7,29.3,45340,30368,61.8,5.4,1029
35,Douglas,21088,2901,858,1116,137.6,40.7,52.9,TRUE,0.115,33.4,10.5,64.1,7.8,12.9,15.6,40.8,9.7,46865,36575,80.3,8.1,1199
36,Oakland,6937,801,234,293,115.5,33.7,42.2,TRUE,0.099,36.8,5.3,83.6,6.1,0,14,36.5,9.7,27757,37429,73,6.9,923
37,Fuller Park,2344.57831325301,685,260,198,292.2,110.9,84.5,TRUE,0.215,42.9,2.5,77.3,8.4,1.7,21.3,13.2,22.6,20240,16779,71.7,25,593
38,Grand Boulevard,25181,3403,1029,1177,135.1,40.9,46.7,TRUE,0.123,38.3,5.7,84,4.6,0.5,17.2,38.8,10.3,50075,38990,68.9,8.9,1182
39,Kenwood,18417,2039,550,795,110.7,29.9,43.2,TRUE,0.077,39.4,20.4,63,3.5,5.7,12,57.9,5.5,64746,66443,62.5,11.7,1341
40,Washington Park,12313,2446,939,660,198.7,76.3,53.6,TRUE,0.161,32.2,2,91.9,2.9,0.1,17.1,26.6,13.8,35737,22396,86.9,13.3,1118
41,Hyde Park,30599,2552,512,1340,83.4,16.7,43.8,FALSE,0.06,30.9,40.7,26,8.1,16.9,6.7,80.1,2.6,69838,62330,65.5,9.1,1604
42,Woodlawn,23801,3672,1254,1160,154.3,52.7,48.7,TRUE,0.152,32.7,10.5,75.9,4.2,4.2,12.9,30.3,11.5,39802,27109,76.1,17,1174
43,South Shore,53588,8114,3078,2335,151.4,57.4,43.6,TRUE,0.137,40.5,3.6,90,3.1,0.4,14.9,24.8,11.7,44028,31376,74.2,13.9,1123
44,Chatham,29941.5634477255,5363,1853,1786,179.1,61.9,59.6,TRUE,0.149,41.2,1.3,92.1,4.3,0.4,16.7,28.9,9.8,43564,31388,61.1,13.7,1061
45,Avalon Park,9024.43655227454,1054,347,328,116.8,38.5,36.3,TRUE,0.106,44.6,0,88.4,5.6,0.1,13.4,34,7.7,57863,35761,33.6,16.3,1068
46,South Chicago,27551,3727,1310,1038,135.3,47.5,37.7,TRUE,0.144,39.9,4.6,68.9,23.6,0.3,14.6,19.7,18.4,40515,25785,56,19.5,966
47,Burnside,2304,252,89,81,109.4,38.6,35.2,TRUE,0.103,50.4,0,91.8,4.8,0,18.8,23.6,13.3,46691,30132,46.9,9.4,678
48,Calumet Heights,11229,1334,392,476,118.8,34.9,42.4,TRUE,0.091,51.9,0.3,92.3,5.6,0.3,11.3,39.5,5.8,65978,40399,28.8,6.8,1178
49,Roseland,36635,5307,1797,1468,144.9,49.1,40.1,TRUE,0.175,40.2,2,91.8,3.1,0.5,17.4,23.2,12,48745,26997,45.5,18.1,1226
50,Pullman,6744,1096,347,366,162.5,51.5,54.3,TRUE,0.209,40.7,12.4,77.1,7.7,1.4,13.4,35.9,9.5,62475,33536,42.8,17.7,1167
51,South Deering,12854,1857,604,630,144.5,47,49,TRUE,0.153,44.9,5.9,62.2,30.8,0.1,15.3,16,15.9,39340,24276,46.5,14.6,1192
52,East Side,22612.8767452441,1411,447,452,62.4,19.8,20,FALSE,0.127,35,13.4,2.4,83.4,0.1,10.4,15.4,23.7,61942,26715,35.3,7.5,1092
53,West Pullman,24549,3247,1034,946,132.3,42.1,38.5,TRUE,0.153,40.9,0.8,88.6,8.6,0.2,19.8,18,13.1,54430,25288,39.9,19.2,1229
54,Riverdale,7518,1069,487,234,142.2,64.8,31.1,TRUE,0.125,24.4,0.5,94.8,1.2,0,30.2,4.6,15.7,17639,15115,89.6,7.9,642
55,Hegewisch,8927.12325475588,769,195,276,86.1,21.8,30.9,FALSE,0.073,39.4,35.7,9.6,52.8,1.3,9.1,18.7,13.3,65811,33804,32.9,14.7,1240
56,Garfield Ridge,36732,2045,496,595,55.7,13.5,16.2,FALSE,0.176,40.5,32.8,3.7,59.1,1.9,3.7,25.2,17.4,96218,40410,16.7,3.4,1238
57,Archer Heights,13414,1100,243,521,82,18.1,38.8,FALSE,0.162,39.2,12.9,1.6,79.5,5.9,11.5,13.6,31.7,67012,27741,35.6,6,996
58,Brighton Park,42994,2000,665,597,46.5,15.5,13.9,FALSE,0.147,34.1,6.4,2.2,78.8,11.8,7.7,16.2,30.9,66071,26470,43.6,6.4,1137
59,Mckinley Park,14854,938,250,389,63.1,16.8,26.2,FALSE,0.166,42.1,13.5,3.2,57,23.8,8.2,32.4,21.3,79960,38237,29.8,9,1225
60,Bridgeport,33638.4836065574,1688,474,615,50.2,14.1,18.3,FALSE,0.128,37.9,32.1,2.8,24.2,37.7,5.8,39.7,17,74610,42196,49.6,6.1,1361
61,New City,40065.421686747,3600,1403,995,89.9,35,24.8,TRUE,0.174,35.2,8.9,19.8,67.5,3.2,12.6,14.2,27.9,55497,23861,60.7,13,1065
62,West Elsdon,17901,916,292,271,51.2,16.3,15.1,FALSE,0.136,36.8,13.2,1.3,83.1,2.3,6.5,17.7,23.4,75895,32471,28.3,3.5,1252
63,Gage Park,36081,2217,691,800,61.4,19.2,22.2,FALSE,0.142,34.6,3.6,6.2,88.8,0.7,11.8,11.8,34,63702,23728,41.7,5.8,1049
64,Clearing,23629,1048,321,315,44.4,13.6,13.3,FALSE,0.116,37.2,30.2,0.9,66.6,0.8,6.6,23,15.4,78437,36072,26.7,4.1,1380
65,West Lawn,31942,1733,455,723,54.3,14.2,22.6,FALSE,0.144,33.7,8.6,2,88,1.1,8,18,30.1,73123,26508,23.8,2.8,1212
66,Chicago Lawn,54409,4748,1738,1170,87.3,31.9,21.5,TRUE,0.192,33.7,3.2,33.2,61,0.4,11.7,13.4,26.3,53852,24221,46.7,8.1,1176
67,West Englewood,28144,4271,1600,963,151.8,56.9,34.2,TRUE,0.208,35.2,0.5,68,27.5,0.5,16.3,10.8,22.7,38273,20874,48.2,20.5,1162
