city_id,city,region,population_2020,poverty_rate,unemployment_rate,police_per_10k,vcr_2015,vcr_2016,vcr_2017,vcr_2018,vcr_2019,vcr_2020,vcr_2021,vcr_2022,vcr_2023,vcr_2024,vcr_2025
CITY_001,City 1,South,478692,20.4,13.3,28.7,549,561,510,512,516,604,641,525,539,519,525
CITY_002,City 2,Midwest,151873,10.9,5,25.5,660,648,599,605,566,669,629,529,502,508,456
CITY_003,City 3,South,1282289,9.5,7.4,10,401,317,384,364,276,450,409,286,270,261,277
CITY_004,City 4,South,825770,6.7,12.3,32.2,326,346,353,270,245,361,313,224,201,160,203
CITY_005,City 5,Midwest,1454259,13.8,10.5,20,424,375,347,488,464,508,509,372,395,311,383
CITY_006,City 6,Midwest,1082444,26.1,5.3,32.9,535,428,400,491,512,457,465,468,408,436,371
CITY_007,City 7,Northeast,1364012,10.5,9.1,15.7,246,295,252,236,149,251,319,180,187,147,192
CITY_008,City 8,South,1139270,6.6,2.7,14.7,364,441,422,445,334,429,362,228,292,292,265
CITY_009,City 9,West,1073640,18.4,10,32.3,278,258,229,245,179,279,312,148,181,227,177
CITY_010,City 10,South,300441,15.1,11.4,18.6,404,420,319,374,371,437,368,300,335,272,277
CITY_011,City 11,South,83532,25.6,13.6,20.1,659,545,607,617,598,634,706,610,657,646,669
CITY_012,City 12,West,824903,27.5,4.3,19.8,139,102,311,264,261,297,337,258,240,264,249
CITY_013,City 13,South,1483815,4.4,11.9,22.7,148,159,116,106,149,97,183,63,23,0,0
CITY_014,City 14,Northeast,968510,9.6,10.7,22.2,527,543,440,520,512,567,570,458,429,489,521
CITY_015,City 15,South,1442876,29.9,12.9,32.2,587,531,567,548,588,669,629,578,559,621,641
CITY_016,City 16,Midwest,916760,17.4,10.1,13.2,351,289,276,267,274,315,380,278,331,267,294
CITY_017,City 17,Midwest,679969,4.8,11.7,12.8,406,316,350,298,301,381,292,279,263,234,246
CITY_018,City 18,Northeast,594223,28.6,4.7,34.9,632,586,666,691,623,741,685,679,621,680,630
CITY_019,City 19,Midwest,309041,30.2,10.8,23.9,642,641,748,740,807,723,822,749,781,742,738
CITY_020,City 20,South,1384822,19.3,12.5,18.9,338,356,363,323,342,340,411,328,267,292,300
CITY_021,City 21,South,1152607,31.8,5,22.9,455,292,411,318,347,416,470,428,401,465,504
CITY_022,City 22,South,825335,16.2,5.5,12.8,184,250,272,186,196,234,266,236,171,120,162
CITY_023,City 23,Northeast,662652,31.2,6.1,14.5,606,554,581,597,532,536,681,603,642,605,575
CITY_024,City 24,West,1273782,21.3,10,13.6,495,459,439,437,502,490,530,487,423,468,449
CITY_025,City 25,Midwest,68985,16.2,10.6,33.8,740,626,654,597,720,754,673,625,616,582,648
CITY_026,City 26,Northeast,1156694,31.7,3.1,27.6,581,600,596,591,609,591,682,641,687,558,642
CITY_027,City 27,West,616343,25.8,9.3,10.5,636,573,596,581,569,673,644,643,568,564,592
CITY_028,City 28,South,1157309,28.8,2.8,18.8,553,519,586,544,576,577,635,518,572,626,468
CITY_029,City 29,South,1175608,28.4,7.6,23.5,414,430,365,453,453,531,492,524,436,426,456
CITY_030,City 30,Northeast,386537,27.2,8.3,31.6,114,97,51,105,49,153,160,81,113,75,26
CITY_031,City 31,South,288162,12,7.9,18.6,498,474,532,500,511,495,579,394,401,391,458
CITY_032,City 32,South,323900,22.3,9.1,20.2,535,563,560,485,541,535,545,537,576,487,561
CITY_033,City 33,Midwest,561661,15.1,4.5,17.8,268,343,289,227,264,318,275,231,202,188,149
CITY_034,City 34,West,99857,12,5.9,16.4,512,563,509,532,437,541,533,413,516,447,442
CITY_035,City 35,West,1206233,22.2,13.8,31.2,482,405,336,426,308,505,350,426,444,366,393
CITY_036,City 36,West,1003413,4.4,6.9,21.5,192,158,140,138,31,171,66,11,0,0,7
CITY_037,City 37,South,1439085,21.6,5.8,28.2,508,552,482,561,526,590,569,418,474,469,447
CITY_038,City 38,South,820625,11.4,8.7,30.1,14,0,0,0,0,22,0,0,0,0,0
CITY_039,City 39,Midwest,582757,19.8,11.2,28.6,338,229,219,343,227,391,356,254,271,246,233
CITY_040,City 40,Midwest,557797,13.5,6.3,14.9,359,349,494,374,375,404,464,320,339,298,259
CITY_041,City 41,South,486651,11.6,5.2,20.7,259,244,164,216,220,186,95,78,87,20,3
CITY_042,City 42,South,471383,28.2,10.4,32.2,362,303,259,285,271,306,401,343,280,233,291
CITY_043,City 43,Northeast,1405185,28.5,7.5,16.3,506,595,435,487,514,527,554,522,447,467,523
CITY_044,City 44,Midwest,1184226,21,3.2,25.1,356,400,405,368,350,337,354,301,347,415,318
CITY_045,City 45,West,412131,10.4,5.6,17.9,448,448,377,361,432,445,473,330,320,282,229
CITY_046,City 46,South,1469283,22.3,2.5,21.7,547,579,578,670,569,638,636,574,516,599,620
CITY_047,City 47,West,507280,28.3,4.1,16.6,375,484,469,455,455,488,555,442,489,460,399
CITY_048,City 48,Northeast,364332,12,10.1,18.8,684,623,677,662,624,687,667,558,586,626,609
CITY_049,City 49,South,418806,16.8,6,28.3,393,308,244,221,331,305,305,227,175,220,273
CITY_050,City 50,South,149622,30.5,5.5,11.1,625,577,661,674,680,664,675,676,631,485,652
CITY_051,City 51,West,1451979,16.8,3.9,26.3,353,346,316,331,390,410,399,352,299,411,391
CITY_052,City 52,South,640102,17.8,9,10.9,313,318,406,321,317,440,357,292,151,357,334
CITY_053,City 53,Midwest,929253,31.8,11.6,17.6,515,504,449,588,525,599,687,531,595,543,567
CITY_054,City 54,Midwest,381715,10.9,10.1,34.8,388,279,390,257,282,388,309,217,231,251,244
CITY_055,City 55,South,1119214,25.9,5.4,19.5,535,540,515,535,462,551,647,480,542,458,503
CITY_056,City 56,South,1280710,21.6,13.9,22.5,410,358,394,304,426,425,485,380,308,330,397
CITY_057,City 57,West,648993,26.6,4.9,10.3,394,351,305,367,315,400,435,294,298,291,386
CITY_058,City 58,Midwest,1230740,13.9,3,19.4,383,418,362,387,441,414,441,331,304,432,383
CITY_059,City 59,South,601876,25.4,12.8,10.1,367,456,362,416,385,521,395,475,352,468,424
CITY_060,City 60,West,169617,13,2.6,24.9,519,463,521,407,449,471,406,442,315,397,400
CITY_061,City 61,South,56546,14.9,4.9,20.7,351,332,420,361,272,373,474,397,323,297,222
CITY_062,City 62,Northeast,594430,16.7,7.8,20.5,526,475,385,378,424,521,425,455,504,350,378
CITY_063,City 63,West,1173543,6.4,5.3,22.2,484,573,587,536,515,485,479,409,368,397,408
CITY_064,City 64,West,740448,15.3,3.2,23.6,450,459,398,498,381,489,499,439,370,411,345
CITY_065,City 65,South,1030221,5.2,2.1,16.8,255,188,183,192,82,213,156,220,93,5,21
CITY_066,City 66,South,1109944,19.7,12.5,34.8,234,114,169,224,134,280,325,151,220,164,149
CITY_067,City 67,Midwest,567428,13.8,3.4,16.1,510,456,440,497,418,404,516,355,363,359,279
CITY_068,City 68,West,294153,6.3,2.9,28.1,186,139,41,113,188,142,182,120,70,54,0
CITY_069,City 69,West,308820,24.1,4,12.1,418,514,521,397,406,518,517,456,515,429,389
CITY_070,City 70,South,1224905,17.2,10.4,30.7,376,392,323,372,423,475,491,443,281,304,398
CITY_071,City 71,South,207637,5.7,6.9,33,322,254,304,281,209,248,198,300,214,135,69
CITY_072,City 72,Midwest,1101062,5.1,13.3,33.7,130,179,110,117,92,169,95,94,52,23,30
CITY_073,City 73,Midwest,1227545,27.9,4.8,19.3,851,957,857,870,913,1007,986,946,991,863,904
CITY_074,City 74,South,105355,8,9.1,17.1,464,515,478,330,391,520,386,363,376,396,220
CITY_075,City 75,South,1095825,14.4,6,30.4,363,404,399,291,314,381,308,298,313,319,210
CITY_076,City 76,Midwest,1209866,7.1,6.9,16.5,462,380,431,408,402,457,388,318,279,239,307
CITY_077,City 77,West,861097,14.4,5.5,12.3,515,519,588,595,459,419,639,553,406,423,515
CITY_078,City 78,Midwest,515657,19,9.3,19.4,398,381,323,299,474,479,430,398,356,305,332
CITY_079,City 79,West,1292671,17.5,8.8,10.1,352,284,298,239,217,390,441,332,317,259,245
CITY_080,City 80,Northeast,589128,5.3,7.3,18.5,411,455,372,388,386,416,465,358,280,283,253
CITY_081,City 81,West,425542,10.3,2.4,29.9,532,448,480,492,412,509,525,399,466,306,350
CITY_082,City 82,Midwest,1469431,17,12.6,25.3,495,550,440,519,549,547,547,433,445,481,431
CITY_083,City 83,West,1341844,22.7,10.5,25.6,515,505,587,543,487,527,603,518,411,495,486
CITY_084,City 84,South,535263,12.9,9.8,15.2,426,427,484,449,455,429,445,336,341,360,352
CITY_085,City 85,Midwest,982154,24.6,11.7,28.4,507,481,566,567,570,690,622,545,604,521,561
CITY_086,City 86,South,515914,27.6,8.9,25.4,538,570,666,596,625,638,614,604,558,611,571
CITY_087,City 87,South,932488,18.5,12.4,15,453,484,416,507,480,574,601,483,469,469,528
CITY_088,City 88,Northeast,1080938,22.3,4.4,28.2,610,530,579,571,646,704,641,594,501,573,656
CITY_089,City 89,South,586754,25.1,10.3,28.5,733,631,615,706,747,724,717,621,646,667,760
CITY_090,City 90,Northeast,742479,15.6,3,16.5,390,568,449,426,442,500,439,425,307,421,396
CITY_091,City 91,Midwest,808091,31.7,11.1,25.4,525,471,566,570,572,593,651,590,535,668,585
CITY_092,City 92,West,301988,15.9,9.3,28.4,522,480,461,457,397,414,455,439,445,367,314
CITY_093,City 93,Midwest,440378,11.1,11.2,24.9,375,355,409,306,337,443,329,312,378,325,298
CITY_094,City 94,South,387581,26.6,4.7,30.4,112,171,159,175,72,211,121,134,164,90,180
CITY_095,City 95,South,1146926,22.3,9.1,23.9,533,570,488,517,464,551,593,472,501,506,536
CITY_096,City 96,West,486548,17.9,5.7,33.2,77,168,195,175,128,189,141,110,145,139,148
CITY_097,City 97,Northeast,717731,18.8,10.4,29.9,458,503,467,454,391,480,539,462,427,413,423
CITY_098,City 98,South,286899,31,6.2,23.1,463,309,423,493,399,565,470,426,474,528,478
CITY_099,City 99,Northeast,718138,8.6,2.6,22.8,272,380,330,409,338,440,305,207,238,330,281
CITY_100,City 100,Midwest,1069226,11,6.7,20.6,643,566,443,518,489,509,565,474,420,419,466
