id,age,gender,program_type,risk_score,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
R0001,32,Male,CBT,0.6,0,0,0,1,0,1,1,1,1,1,1,1
R0002,52,Male,Control,0.03,0,1,0,1,1,1,0,0,0,0,1,0
R0003,39,Male,Substance Use,0.82,0,1,0,1,1,1,0,0,1,1,1,1
R0004,51,Female,CBT,0.8,0,0,0,0,1,1,0,1,0,1,1,0
R0005,40,Male,Employment,0.6,0,1,1,0,0,0,1,0,0,0,0,0
R0006,45,Male,CBT,0.04,0,1,0,0,0,0,0,0,0,0,0,1
R0007,28,Female,Control,0.65,1,1,1,0,1,0,0,1,0,1,1,0
R0008,31,Male,Substance Use,0.56,0,0,1,0,0,1,0,0,1,0,0,1
R0009,24,Male,Control,0.76,0,0,0,0,1,1,1,0,1,1,1,1
R0010,58,Male,Employment,0.9,0,1,1,1,0,1,1,0,1,1,1,1
R0011,47,Male,Substance Use,0.64,0,0,1,0,1,0,0,0,1,0,1,0
R0012,28,Male,CBT,0.67,0,1,0,0,0,0,0,1,0,1,0,0
R0013,30,Male,Control,0.88,1,0,1,0,1,1,0,1,0,1,1,1
R0014,44,Male,CBT,0.89,1,1,0,1,1,1,1,0,1,0,0,0
R0015,31,Male,Control,0.18,0,0,0,0,0,0,0,1,0,0,0,0
R0016,41,Female,Employment,0.77,0,0,1,1,1,0,0,1,1,1,0,1
R0017,41,Male,Substance Use,0.08,0,0,0,1,0,0,0,0,0,0,0,0
R0018,39,Male,Employment,0.85,0,1,0,1,1,1,1,1,1,0,1,1
R0019,31,Male,CBT,0.67,1,1,0,0,0,1,1,1,1,1,0,1
R0020,62,Male,Control,0.5,0,0,1,1,0,1,1,1,0,0,0,0
R0021,37,Female,CBT,0.8,0,1,1,0,1,1,0,1,1,0,1,1
R0022,31,Male,CBT,0.58,0,0,0,1,0,1,1,1,0,1,1,1
R0023,41,Male,CBT,0.21,0,0,0,1,0,0,1,1,1,0,0,0
R0024,43,Female,CBT,0.98,1,1,0,0,1,1,0,0,0,1,1,0
R0025,30,Male,Employment,0.68,1,0,1,1,0,1,0,1,1,0,1,0
R0026,30,Female,Control,0.05,0,0,1,1,0,0,0,0,0,1,1,1
R0027,30,Male,Substance Use,0.38,0,0,0,0,0,0,0,0,0,0,1,0
R0028,33,Male,Employment,0.87,1,0,0,1,0,1,1,0,0,1,1,1
R0029,54,Male,Employment,0.83,0,1,0,0,0,1,0,0,1,1,1,1
R0030,20,Female,Employment,0.77,0,1,1,0,1,1,1,0,1,1,1,0
R0031,11,Male,Employment,0.76,0,0,1,1,0,1,1,1,1,1,0,1
R0032,40,Male,Employment,0.86,0,1,1,0,0,1,1,1,1,0,1,1
R0033,49,Female,CBT,0.94,0,1,0,0,0,1,1,0,1,1,1,1
R0034,42,Male,Control,0.35,0,1,0,1,0,0,0,0,0,0,0,1
R0035,36,Male,Employment,0.67,0,1,0,0,0,1,1,0,0,1,1,1
R0036,30,Male,Control,0.87,1,1,0,0,1,1,0,1,1,0,0,1
R0037,40,Male,CBT,0.37,0,1,1,1,0,1,0,1,0,1,1,1
