incident_id,date,time,county,latitude,longitude,num_vehicles,occupants,primary_cause,secondary_cause,severity,injuries,fatalities,road_condition,driver_age,driver_gender,intox_alcohol,intox_drugs,intox_any,vehicle1_make,vehicle1_model,vehicle1_year,vehicle2_make,vehicle2_model,vehicle2_year
AK340354,02/20/2023,02:12:34,Anchorage,58.068599,-148.129318,2,5,road_defect,speeding,1,0,0,normal,34,Female,0,0,0,Chevrolet,Silverado,2010,Hyundai,Tucson,2007
AK991668,04/09/2023,17:56:02,Matanuska-Susitna,58.758632,-140.451519,2,4,wildlife,weather,1,0,0,normal,39,Male,0,0,0,Toyota,RAV4,2008,Ram,1500,2011
AK050345,06/29/2022,17:36:39,Bethel,58.444185,-132.482692,2,6,weather,impaired,2,0,0,normal,16,Male,0,0,0,Dodge,Charger,2017,Hyundai,Tucson,2011
AK336884,06/11/2023,00:21:50,Fairbanks North Star,60.198917,-132.8759,2,8,impaired,NA,1,0,0,normal,48,Female,0,0,0,Chevrolet,Silverado,2002,Subaru,Outback,2008
AK873347,07/15/2022,21:14:18,Matanuska-Susitna,57.781329,-169.396281,1,3,fatigue,fatigue,1,1,0,normal,52,Female,0,0,0,Hyundai,Tucson,2014,NA,NA,NA
AK970879,07/27/2024,02:33:55,Nome,56.490075,-155.845008,2,8,weather,NA,3,1,1,icy,27,Male,0,0,0,Ford,F-150,2019,Jeep,Grand Cherokee,2011
AK704743,02/16/2025,19:41:09,Valdez-Cordova,60.972839,-134.569521,2,5,impaired,road_defect,3,4,0,icy,25,Male,0,0,0,Honda,CR-V,2014,Jeep,Grand Cherokee,2006
AK809625,08/16/2025,12:26:26,Bethel,63.253807,-159.889659,2,3,distracted,fatigue,1,0,0,wet,73,Male,0,0,0,Nissan,Rogue,2012,Jeep,Grand Cherokee,2012
AK035697,06/07/2025,07:26:26,Kodiak Island,59.467875,-162.183843,1,1,speeding,failure_to_yield,3,1,0,icy,35,Male,0,0,0,GMC,Sierra,2014,NA,NA,NA
AK775677,06/22/2025,09:58:19,Fairbanks North Star,61.436133,-132.915854,2,4,weather,NA,3,2,0,icy,46,Female,0,0,0,GMC,Sierra,2017,Honda,CR-V,2018
AK517501,11/04/2024,01:18:18,Kenai Peninsula,62.088378,-137.267216,2,6,distracted,road_defect,1,0,0,normal,42,Female,0,0,0,Dodge,Charger,2016,Kia,Sportage,2012
AK339562,10/30/2025,09:05:34,Kodiak Island,63.963997,-145.25011,2,3,speeding,speeding,3,2,0,wet,30,Female,0,0,0,Kia,Sportage,2020,Ram,1500,2010
AK898267,10/28/2023,14:46:34,Fairbanks North Star,70.304163,-149.828651,2,3,speeding,NA,1,0,0,normal,37,Male,0,0,0,Chevrolet,Silverado,2007,Nissan,Rogue,2011
AK160207,08/26/2023,08:19:46,Kenai Peninsula,57.498846,-150.652959,2,6,speeding,speeding,3,3,0,normal,58,Male,0,0,0,GMC,Sierra,2008,Subaru,Outback,2011
AK302807,12/11/2023,12:44:01,Fairbanks North Star,66.540585,-167.879009,2,3,impaired,NA,3,2,0,normal,28,Male,0,0,0,Nissan,Rogue,2009,Volkswagen,Jetta,2005
AK269513,10/08/2024,17:57:47,Kenai Peninsula,64.968582,-148.099773,1,2,speeding,impaired,2,2,0,normal,64,Female,0,0,0,Subaru,Outback,2013,NA,NA,NA
AK871801,01/20/2025,20:06:18,Fairbanks North Star,66.357944,-134.914293,2,4,speeding,impaired,3,1,0,wet,38,Male,0,0,0,Honda,CR-V,2004,GMC,Sierra,2005
AK225334,08/11/2024,04:20:06,Matanuska-Susitna,67.870567,-169.165643,2,3,weather,speeding,1,0,0,normal,31,Female,0,1,1,Honda,CR-V,2009,Dodge,Charger,2007
AK655514,12/15/2022,20:39:23,Fairbanks North Star,70.234914,-139.959403,2,4,other,NA,1,0,0,icy,47,Male,0,0,0,Subaru,Outback,2000,Chevrolet,Silverado,2010
AK604048,10/14/2024,09:01:57,Ketchikan Gateway,69.037848,-148.26858,1,1,speeding,distracted,1,0,0,normal,54,Male,0,0,0,Ram,1500,2019,NA,NA,NA
AK968856,10/11/2025,04:48:37,Anchorage,68.781937,-159.77691,2,3,speeding,NA,2,0,0,normal,45,Female,0,0,0,Nissan,Rogue,2014,Chevrolet,Silverado,2009
AK983625,04/20/2024,07:46:49,Matanuska-Susitna,60.126199,-145.680699,2,6,road_defect,NA,1,0,0,normal,52,Male,0,0,0,Subaru,Outback,2009,Toyota,RAV4,2009
AK660258,01/27/2022,19:44:03,Matanuska-Susitna,64.247316,-155.981847,2,5,other,distracted,2,2,0,wet,55,Female,0,0,0,Mazda,CX-5,2018,Honda,CR-V,2000
AK801877,06/04/2023,05:56:17,Yukon-Koyukuk,70.834028,-154.769076,2,4,impaired,road_defect,2,1,0,normal,24,Female,0,0,0,Kia,Sportage,2017,Nissan,Rogue,2012
AK399254,12/21/2025,16:50:53,Anchorage,70.17147,-156.308938,2,6,speeding,NA,1,0,0,normal,51,Female,0,0,0,Dodge,Charger,2018,Chevrolet,Silverado,2007
AK998060,07/31/2022,15:05:41,Bethel,68.224846,-151.099004,2,6,wildlife,NA,1,0,0,normal,52,Female,0,0,0,GMC,Sierra,2016,Ram,1500,2013
AK456787,07/21/2024,00:19:39,Yukon-Koyukuk,62.440472,-160.125999,1,1,weather,NA,2,1,0,normal,16,Female,0,0,0,Chevrolet,Silverado,2005,NA,NA,NA
